rank,name,symbol,category,revenue30d,annualizedRevenue,marketCap,revenueYield,marketCapSource,quality
169,Penpie,PNP,Yield,933.86,11361.963333333335,1952784.348785281,0.0058183400232601126,DeFiLlama,Direct match
170,SakeFinance,SONE,Lending,230.97000000000003,2810.135,486676.29633006296,0.005774135747293868,DeFiLlama,Direct match
171,Sable Finance,SABLE,CDP,30.33,369.015,70215.54127486987,0.005255460447928931,DeFiLlama,Direct match
172,Amnis Finance,AMI,Liquid Staking,194.78,2369.8233333333333,453806.8778319614,0.005222096554937731,DeFiLlama,Direct match
173,Hydration DEX,HDX,Dexs,21061,256242.16666666666,49883787.78150748,0.005136782471070866,DeFiLlama,Direct match
174,Wombat Exchange,WOM,Dexs,42.71999999999999,519.7599999999999,101878.26396413642,0.005101775194981412,DeFiLlama,Direct match
175,Looped Hype,LHYPE,Yield,4196,51051.333333333336,10031517.722974,0.005089093668888856,DeFiLlama,Direct match
176,Reserve Protocol,RSR,Indexes,34431,418910.5,86329995.18685195,0.004852432796889581,DeFiLlama,Direct match
177,GTR.trade Perps,GTR,Interface,200.57999999999998,2440.39,576630.1403625566,0.004232158240055928,DeFiLlama,Direct match
178,Hyperion,RION,Dexs,1999,24321.166666666668,6612824.54031907,0.0036778787216231153,DeFiLlama,Direct match
179,TermMax,TMX,Lending,3828.3600000000006,46578.380000000005,15034799.368917767,0.00309803801547854,DeFiLlama,Direct match
180,Fidelity Digital Interest Token,FDIT,RWA,8987,109341.83333333333,35728426.38,0.003060359618707991,DeFiLlama,Direct match
181,Eggs Finance,EGGS,Reserve Currency,28.59,347.845,123759.27332818175,0.0028106580674370427,DeFiLlama,Direct match
182,Momentum,MMT,Dexs,7634,92880.33333333333,34176305.334112905,0.002717682102419225,DeFiLlama,Direct match
183,Streamlock,LOCK,Launchpad,1.42,17.276666666666664,6523.225647703186,0.002648485212641654,DeFiLlama,Direct match
184,Frankencoin,ZCHF,CDP,8110.28,98675.07333333332,43151370.073292166,0.00228671935944872,DeFiLlama,Direct match
185,Ankr,ANKR,Liquid Staking,7655.7,93144.35,42280065.29253502,0.002203032312167351,DeFiLlama,Direct match
186,Space and Time,SXT,Developer Tools,7198,87575.66666666667,39871270.06235984,0.0021964604219954806,DeFiLlama,Direct match
187,Boardwalk,BWLK,Launchpad,126.73,1541.881666666667,708892.7745172045,0.002175056259695656,DeFiLlama,Direct match
188,Beraborrow,POLLEN,CDP,20.91,254.405,119023.92465820124,0.002137427418315856,DeFiLlama,Direct match
189,Ethervista,VISTA,Dexs,136.92000000000002,1665.8600000000001,783880.634101845,0.0021251449870409284,DeFiLlama,Direct match
190,Yield Basis,YB,Leveraged Farming,4344,52852,24886787.62483185,0.0021236971519483965,DeFiLlama,Direct match
191,Aptos,APT,Chain,87709,1067126.1666666667,512239227.35505813,0.002083257411145104,DeFiLlama,Direct match
192,SushiSwap,SUSHI,Dexs,9624,117092,56792290.15032627,0.0020617587297512303,DeFiLlama,Direct match
193,HOPR,HOPR,Privacy,1277.3100000000004,15540.605000000005,7711258.427206278,0.0020153137320843536,DeFiLlama,Direct match
194,Api3,API3,Risk Curators,5432,66089.33333333333,33185991.705804344,0.0019914828497282506,DeFiLlama,Direct match
195,ZealousSwap,ZEAL,Dexs,222.98,2712.923333333333,1382571.4913121792,0.001962230054923623,DeFiLlama,Direct match
196,Omnipair,OMFG,Lending,336.41999999999996,4093.1099999999997,2237069.8691618135,0.0018296746366413706,DeFiLlama,Direct match
197,Unlock Protocol,UP,Payments,113.59,1382.0116666666665,795502.8988550018,0.0017372804909395673,DeFiLlama,Direct match
198,Launch Coin on Believe,LAUNCHCOIN,Launchpad,212.74999999999997,2588.458333333333,1592823.3587627204,0.0016250755735676841,DeFiLlama,Direct match
199,Walrus Protocol,WAL,Developer Tools,8361,101725.5,65239607.90937491,0.0015592598309497516,DeFiLlama,Direct match
200,Verse,VERSE,Dexs,142.95000000000002,1739.2250000000001,1138930.4755053674,0.0015270686292139734,DeFiLlama,Direct match
201,Illuvium,ILV,Gaming,2888.6999999999994,35145.84999999999,25688710.074420925,0.0013681438226435451,DeFiLlama,Direct match
202,ThalaSwap,THL,Dexs,72.42999999999998,881.2316666666665,697504.5365440125,0.0012634063586639637,DeFiLlama,Direct match
203,Sommelier,SOMM,Onchain Capital Allocator,13.2,160.6,133151.1817168784,0.0012061477632356766,DeFiLlama,Direct match
204,Bitway Earn,BTW,Basis Trading,119243,1450789.8333333333,1219279051.0159752,0.001189875141481722,DeFiLlama,Direct match
205,THENA V1,THE,Dexs,943,11473.166666666666,9881477.396217655,0.0011610780662270465,DeFiLlama,Direct match
206,ZKsync Era,ZK,Chain,9461,115108.83333333333,99703990.25879592,0.0011545057829135217,DeFiLlama,Direct match
207,Polycule,PCULE,Interface,44.37,539.8349999999999,537207.3945815417,0.0010048912309193084,DeFiLlama,Direct match
208,Re,RE,RWA,5998.31,72979.43833333334,72669101.84881853,0.0010042705424536612,DeFiLlama,Direct match
209,Sui Foundation,SUI,Canonical Bridge,223368,2717644,3180316348.5927095,0.0008545200232054142,DeFiLlama,Direct match
210,Filecoin,FIL,Chain,44515,541599.1666666666,639043293.0880482,0.0008475156104831295,DeFiLlama,Direct match
211,Jellyverse,JLY,Dexs,1.47,17.884999999999998,23198.789323831348,0.0007709454036736016,DeFiLlama,Direct match
212,BakerDAO,BREAD,Reserve Currency,1.6,19.466666666666665,29598.690770870682,0.0006576867476119799,DeFiLlama,Direct match
213,SYMMIO,SYMM,Derivatives,437.74999999999994,5325.958333333332,8293744.173996821,0.0006421657361980953,DeFiLlama,Direct match
